證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
0050,元大台灣50,"33,813,951","17,505","2,652,927,807",80.00,80.40,76.95,77.30,-,3.7,77.25,43,77.30,479,0.00,
0051,元大中型100,"63,300",55,"1,821,530",29.38,29.38,28.05,28.11,-,0.99,28.07,1,28.19,20,0.00,
0052,富邦科技,"222,933",103,"13,458,196",63.00,63.00,58.50,58.80,-,3.7,58.80,4,58.95,1,0.00,
0053,元大電子,"31,000",19,"1,081,270",35.30,35.51,34.02,34.20,-,2.0,34.10,1,34.30,2,0.00,
0054,元大台商50,"65,000",25,"1,287,180",19.87,19.99,19.40,19.67,+,0.08,19.30,22,19.55,2,0.00,
0055,元大MSCI金融,"101,560",80,"1,648,030",16.66,16.66,16.00,16.00,-,0.5,16.00,22,16.05,1,0.00,
0056,元大高股息,"92,824,206","44,641","2,297,360,656",25.10,25.24,24.40,24.41,-,0.88,24.41,264,24.42,7,0.00,
0057,富邦摩台,"31,000",8,"1,591,550",51.95,52.15,50.50,50.50,-,1.8,49.77,20,50.30,10,0.00,
0061,元大寶滬深,"457,950",203,"7,996,815",17.67,17.85,17.25,17.25,-,0.43,17.25,2,17.26,1,0.00,
006203,元大MSCI台灣,"10,000",9,"364,960",37.57,37.57,35.94,35.94,-,0.01,35.65,2,35.80,1,0.00,
006204,永豐臺灣加權,"9,000",7,"443,000",49.52,49.52,48.40,48.40,-,1.75,48.27,50,48.40,49,0.00,
006205,富邦上証,"2,678,218",359,"78,054,250",29.60,29.60,28.80,28.88,-,0.77,28.88,1,28.89,200,0.00,
006206,元大上證50,"198,544",135,"5,971,534",31.00,31.00,29.79,29.82,-,0.68,29.80,2,29.82,99,0.00,
006207,FH滬深,"737,425",95,"16,735,108",23.10,23.10,22.46,22.46,-,0.64,22.45,2,22.46,80,0.00,
006208,富邦台50,"1,615,399",801,"72,607,755",45.90,45.90,44.03,44.10,-,1.78,44.10,6,44.16,2,0.00,
00625K,富邦上証+R,"50,000",2,"339,000",6.78,6.78,6.78,6.78,+,0.03,6.65,5,6.80,5,0.00,
00631L,元大台灣50正2,"17,301,155","5,113","623,499,903",37.03,37.81,34.60,34.63,-,3.01,34.63,36,34.64,31,0.00,
